DateTime,consumption
01/01/2013 00:00,0.219
01/01/2013 00:30,0.241
01/01/2013 01:00,0.191
01/01/2013 02:00,0.182
01/01/2013 02:30,0.229
01/01/2013 03:00,0.194
01/01/2013 04:00,0.234
01/01/2013 04:00,0.122
01/01/2013 04:30,0.099
01/01/2013 06:00,0.13
01/01/2013 06:30,0.076
01/01/2013 07:00,0.126
01/01/2013 07:30,0.091
01/01/2013 08:00,0.11
01/01/2013 09:00,0.094
01/01/2013 09:30,0.122
01/01/2013 10:00,0.076
